Catalog ID,University,Program,Country,City,Degree level,Category,Intake,Language,Deadline,Program website,QS Ranking
polimi-msc-civil-engineering,Politecnico di Milano,Civil Engineering,Italy,Milan,Master’s,Engineering,Fall,Italian / English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/civil-engineering,87
polimi-msc-civil-engineering-for-risk-mitigation,Politecnico di Milano,Civil Engineering for Risk Mitigation,Italy,Lecco,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/civil-engineering-for-risk-mitigation,87
polimi-msc-communication-design,Politecnico di Milano,Communication Design,Italy,Milan,Master’s,Design & Creative Arts,Fall,Italian / English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/communication-design,87
polimi-msc-computer-science-and-engineering,Politecnico di Milano,Computer Science and Engineering,Italy,Milan,Master’s,Computer Science & Data,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/computer-science-and-engineering,87
polimi-msc-cyber-risk-strategy-and-governance,Politecnico di Milano,Cyber Risk Strategy and Governance,Italy,Partner university,Master’s,Computer Science & Data,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/cyber-risk-strategy-and-governance,87
polimi-msc-design-engineering,Politecnico di Milano,Design & Engineering,Italy,Milan,Master’s,Design & Creative Arts,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/design-engineering,87
polimi-msc-design-for-the-fashion-system,Politecnico di Milano,Design for the Fashion System,Italy,Milan,Master’s,Design & Creative Arts,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/design-for-the-fashion-system,87
polimi-msc-digital-and-interaction-design,Politecnico di Milano,Digital and Interaction Design,Italy,Milan,Master’s,Design & Creative Arts,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/digital-and-interaction-design,87
polimi-msc-electrical-engineering,Politecnico di Milano,Electrical Engineering,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/electrical-engineering,87
polimi-msc-electronics-engineering,Politecnico di Milano,Electronics Engineering,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/electronics-engineering,87
polimi-msc-energy-engineering,Politecnico di Milano,Energy Engineering,Italy,Piacenza / Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/energy-engineering,87
polimi-msc-engineering-physics,Politecnico di Milano,Engineering Physics,Italy,Milan,Master’s,Science & Mathematics,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/engineering-physics,87
polimi-msc-environmental-and-land-planning-engineering,Politecnico di Milano,Environmental and Land Planning Engineering,Italy,Milan,Master’s,Sustainability & Environment,Fall,Italian / English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/environmental-and-land-planning-engineering,87
polimi-msc-food-engineering,Politecnico di Milano,Food Engineering,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/food-engineering,87
polimi-msc-geoinformatics-engineering,Politecnico di Milano,Geoinformatics Engineering,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/geoinformatics-engineering,87
polimi-msc-health-informatics,Politecnico di Milano,Health Informatics,Italy,Partner university,Master’s,Health & Biomedical,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/health-informatics,87
polimi-msc-high-performance-computing-engineering,Politecnico di Milano,High Performance Computing Engineering,Italy,Milan,Master’s,Computer Science & Data,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/high-performance-computing-engineering,87
polimi-msc-industrial-safety-and-risk-engineering,Politecnico di Milano,Industrial Safety and Risk Engineering,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/industrial-safety-and-risk-engineering,87
polimi-msc-integrated-product-design,Politecnico di Milano,Integrated Product Design,Italy,Milan,Master’s,Design & Creative Arts,Fall,Italian / English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/integrated-product-design,87
polimi-msc-interior-and-spatial-design,Politecnico di Milano,Interior and Spatial Design,Italy,Milan,Master’s,Design & Creative Arts,Fall,Italian / English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/interior-and-spatial-design,87
polimi-msc-landscape-architecture-land-landscape-heritage,Politecnico di Milano,Landscape Architecture - Land Landscape Heritage,Italy,Piacenza,Master’s,Architecture & Urbanism,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/landscape-architecture-land-landscape-heritage,87
polimi-msc-management-engineering,Politecnico di Milano,Management Engineering,Italy,Milan,Master’s,Business & Management,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/management-engineering,87
polimi-msc-management-of-built-environment,Politecnico di Milano,Management of Built Environment,Italy,Milan,Master’s,Architecture & Urbanism,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/management-of-built-environment,87
polimi-msc-materials-engineering-and-nanotechnology,Politecnico di Milano,Materials Engineering and Nanotechnology,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/materials-engineering-and-nanotechnology,87
polimi-msc-mathematical-engineering,Politecnico di Milano,Mathematical Engineering,Italy,Milan,Master’s,Science & Mathematics,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/mathematical-engineering,87
polimi-msc-mechanical-engineering,Politecnico di Milano,Mechanical Engineering,Italy,Lecco / Piacenza / Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/mechanical-engineering,87
polimi-msc-mobility-engineering,Politecnico di Milano,Mobility Engineering,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/mobility-engineering,87
polimi-msc-music-and-acoustic-engineering,Politecnico di Milano,Music and Acoustic Engineering,Italy,Milan / Cremona,Master’s,Science & Mathematics,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/music-and-acoustic-engineering,87
polimi-msc-nuclear-engineering,Politecnico di Milano,Nuclear Engineering,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/nuclear-engineering,87
polimi-msc-product-service-system-design,Politecnico di Milano,Product Service System Design,Italy,Milan,Master’s,Design & Creative Arts,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/product-service-system-design,87
polimi-msc-space-engineering,Politecnico di Milano,Space Engineering,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/space-engineering,87
polimi-msc-sustainable-architecture-and-landscape-design,Politecnico di Milano,Sustainable Architecture and Landscape Design,Italy,Piacenza,Master’s,Architecture & Urbanism,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/sustainable-architecture-and-landscape-design,87
polimi-msc-telecommunication-engineering,Politecnico di Milano,Telecommunication Engineering,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/telecommunication-engineering,87
polimi-msc-transformative-sustainability,Politecnico di Milano,Transformative Sustainability,Italy,Milan,Master’s,Sustainability & Environment,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/transformative-sustainability,87
polimi-msc-urban-planning-and-policy-design,Politecnico di Milano,Urban Planning and Policy Design,Italy,Milan,Master’s,Architecture & Urbanism,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/urban-planning-and-policy-design,87
